region,x,y
Meander River, -69, 294
Habay, -100, 283
Chateh, -104, 268
Fort Chipewan, 141, 276
Fort Vermilion, -17, 246
Keg River, -79, 215
Manning, -78, 162
North Star, -75, 151
Bitumount, 132, 188
Fort MacKay, 128, 175
Fort McMurray, 139, 142
Conklin, 151, 76
Wabaska, 53, 94
Nampa, -63, 104
Peace River, -67, 119
Grimshaw, -76, 115
Fairview, -105, 104
Spirit River, -126, 89
Sexsmith, -128, 64
Beaverlodge, -147, 54
Wembley, -138, 52
Grande Prairie, -124, 50
Falher, -65, 83
McLennan, -55, 79
High Prairie, -41, 59
Faust, -8, 51
Slave Lake, 23, 48
Lac La Biche, 126, 17
Cold Lake, 186, 1
Bonnyville, 167, -10
Athabasca, 77, 12
Swan Hills, -2, 18
Fox Creek, -55, 2
Grande Cache, -145, -28
Whitecourt, -14, -23
Fawcett, 44, 2
Westlock, 57, -18
Smoky Lake, 102, -20
St. Paul, 148, -29
Elk Point, 165, -36
Marwayne, 188, -59
Two Hills, 134, -49
Redwater, 81, -34
St. Albert, 62, -51
Edmonton, 67, -64
Stony Plain, 48, -61
Drayton Valley, 7, -81
Barrhead, 35, -24
Edson, -44, -54
Marlboro, -59, -56
Hinton, -89, -68
Jasper, -109, -95
Cadomin, -78, -95
Rockt Mountain House, 12, -133
Lacombe, 58, -131
Wetaskiwin, 73, -97
Ponoka, 66, -118
Leduc, 67, -77
Camrose, 97, -93
Viking, 135, -84
Vermilion, 167, -69
Wainwright, 169, -102
Forestburg, 120, -119
Stettler, 97, -136
Red Deer, 57, -142
Innisfail, 49, -159
Coronation, 148, -149
Consort, 174, -154
Hanna, 128, -183
Trochu, 79, -169
Olds, 43, -172
Westward Ho, 28, -174
Lake Louise, -38, -193
Banff, -17, -208
Canmore, -4, -217
Calgary, 46, -218
Aridrie, 47, -205
Drumheller, 98, -194
Cereal, 175, -193
Oyen, 196, -197
Empress, 209, -221
Cessford, 146, -222
Bassano, 110, -234
Standard, 91, -214
Okotoks, 50, -240
Turner Valley, 36, -244
High River, 54, -252
Nanton, 60, -267
Brooks, 130, -250
Hilda, 210, -252
Medicine Hat, 189, -285
Ralston, 166, -268
Vauxhall, 124, -284
Claresholm, 64, -288
Fort Macleod, 75, -308
Lethbridge, 101, -308
Grassy Lake, 145, -300
Taber, 126, -301
Manyberries, 187, -323
Milk River, 130, -343
Cardston, 79, -340
Hill Spring, 64, -333
Pincher Creek, 51, -323